Date,Close,Open,High,Low,Vol.,Change %
3/15/2024,38672.65,38809.65,38923.02,38618.22,244.46M,-0.60%
3/14/2024,38905.92,39139.7,39160.25,38705.03,368.38M,-0.35%
3/13/2024,39043.39,39090.03,39200.67,38938.52,323.36M,0.10%
3/12/2024,39005.4,38860.49,39071.04,38715.84,317.39M,0.61%
3/11/2024,38769.73,38667.21,38794.21,38483.57,294.08M,0.12%
3/8/2024,38723.15,38776.8,38968.54,38706.94,337.24M,-0.18%
3/7/2024,38791.35,38784.3,38909.97,38731,331.71M,0.34%
3/6/2024,38661.12,38721.15,38857.94,38571.23,338.93M,0.20%
3/5/2024,38585.19,38906.98,38906.98,38457.83,386.72M,-1.04%
3/4/2024,38989.83,38946.01,39087.4,38915.86,381.58M,-0.25%
3/1/2024,39087.38,38989.51,39119.69,38852.99,324.51M,0.23%
2/29/2024,38995.93,39013.75,39071.1,38810.84,468.47M,0.12%
2/28/2024,38949.29,38938.08,38952.63,38741.87,263.37M,-0.06%
2/27/2024,38972.74,39087.9,39087.9,38881.9,266.84M,-0.25%
2/26/2024,39069.3,39165.13,39245.89,39025.8,284.35M,-0.16%
2/23/2024,39131.53,39127.97,39281.95,39094.7,280.88M,0.16%
2/22/2024,39068.98,38852.13,39148.51,38802.72,316.71M,1.18%
2/21/2024,38612.18,38491.2,38618.03,38339.57,268.12M,0.12%
2/20/2024,38564.03,38552,38658.66,38461.97,314.61M,-0.17%
2/16/2024,38627.99,38751.71,38824.83,38585.75,274.75M,-0.37%
2/15/2024,38773.12,38397.94,38780.33,38397.94,300.35M,0.91%
