Date,Close,Open,High,Low,Vol.,Change %
3/15/2024,5115.19,5120.6,5137.33,5104.74,,-0.69%
3/14/2024,5150.48,5175.14,5176.85,5123.3,,-0.29%
3/13/2024,5165.31,5173.49,5179.14,5151.88,,-0.19%
3/12/2024,5175.27,5134.3,5179.87,5114.48,,1.12%
3/11/2024,5117.94,5111.96,5124.66,5091.14,,-0.11%
3/8/2024,5123.69,5164.46,5189.26,5117.5,,-0.65%
3/7/2024,5157.36,5132.38,5165.62,5128.21,,1.03%
3/6/2024,5104.76,5108.03,5127.97,5092.22,,0.51%
3/5/2024,5078.65,5110.52,5114.54,5056.82,,-1.02%
3/4/2024,5130.95,5130.99,5149.67,5127.18,,-0.12%
3/1/2024,5137.09,5098.51,5140.33,5094.16,,0.80%
2/29/2024,5096.27,5085.36,5104.99,5061.89,,0.52%
2/28/2024,5069.76,5067.2,5077.37,5058.35,,-0.17%
2/27/2024,5078.2,5074.6,5080.69,5057.29,,0.17%
2/26/2024,5069.53,5093,5097.66,5068.91,,-0.38%
2/23/2024,5088.8,5100.92,5111.06,5081.46,,0.03%
2/22/2024,5087.03,5038.83,5094.39,5038.83,,2.11%
2/21/2024,4981.8,4963.03,4983.21,4946,,0.13%
2/20/2024,4975.51,4989.32,4993.71,4955.02,,-0.60%
2/16/2024,5005.57,5031.13,5038.7,4999.52,,-0.48%
2/15/2024,5029.73,5003.14,5032.72,4999.44,,0.58%
